,District,Subdistrict,Area (km2),Population 2015,Density (pop/Km2)
0,1,10 wards,7.73,193632,25049.418
1,2,11 wards,49.74,147168,2958.745
2,3,14 wards,4.92,196333,39905.081
3,4,15 wards,4.18,186727,44671.531
4,5,15 wards,4.27,178615,41830.211
5,6,14 wards,7.19,258945,36014.604
6,7,10 wards,35.69,310178,8690.894
7,8,16 wards,19.18,431969,22521.846
8,9,13 wards,114,290620,2549.298
9,10,15 wards,5.72,238558,41705.944
10,11,16 wards,5.14,230596,44863.035
11,12,11 wards,52.78,510326,9668.928
12,Go Vap,16 wards,19.74,634146,32124.924
13,Tan Binh,15 wards,22.38,459029,20510.679
14,Tan Phu,11 wards,16.06,464493,28922.354
15,Binh Thanh,20 wards,20.76,487985,23506.021
16,Phu Nhuan,15 wards,4.88,182477,37392.828
17,Thu Duc,12 wards,49.76,528413,10619.232
18,Binh Tan,10 wards,51.89,686474,13229.408
